"","Title","PID","Description","alttitle","publisher","date","item","key","resource","topic","geo"
"68","1962 Varsity Soccer Team","grinnell:4930","1962 Varsity Soccer Team First Row: Al MacKnight, Bill Montfort, Jim Soble, Don Cook, Dave Scott, and Vince Anka. Second Row: Jim Ramsay, Ed Jones, Sandy Stern, Neil Weiner, Stu During, Ed Johnson, and Frank Chilingulo. Third Row: Coach Irv Simone, Dave Danley, John Johnson, Vance Opperman, Steve Brooks, Will Van Horne, and Steve Ellenwood. There is an additional photo of Bill Montfort controlling the ball in an undated scrimmage.",NA,"Grinnell College",1962,"Digital Grinnell -- grinnell-collection:1","Soccer, Team, Varsity, Sports","Photograph",NA,"Grinnell"
"69","1963 Cyclone Student Union","grinnell:4952","Photograph of the 1963 Cyclone Student Union",NA,"Grinnell College",1963,"Digital Grinnell","Cyclone Student Union, grinnell college","Article",NA,"Grinnell (Iowa)"
"70","1963 Freshman Track Team Photograph","grinnell:4929","Team Photo of the 1963 freshman track team. First Row: Jack Harrod, John Shierholz, Bob Dyer, and John Kelsey. Second Row: Dave Imes, Walt Neal, Jim Smith, and Dave Synhorst. Third Road: Mike Stewart, John Tepaske, Jim Murtfeldt, Tom Wood, and Coach Terry Moore.",NA,"Grinnell College",1963,"Digital Grinnell","Track, Sports, Team","Photograph",NA,"Grinnell"
"71","1965 Homecoming Football Game","grinnell:5946","Homecoming football game, John Shierholz, class of 1966, carrying the ball.",NA,"Grinnell College",1965,"Digital Grinnell, Life at Grinnell College","homecoming","still image","Shierholz, John, Football players, Grinnell College","Grinnell (Iowa)"
"72","1965-1966 Cyclone Fencers","grinnell:23528","Students fencing",NA,"Grinnell College",1965,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Sports, Fencers, Athletics","still image",NA,"Grinnell (Iowa)"
"73","1969 Admissions Grinnell College Cover Photo","grinnell:12904","A group of students sit around a table working. April 29, 1969.",NA,"Grinnell College",1969,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives",NA,"still image","Students, College students--Education, Student life and customs","United States, Iowa, Grinnell (Iowa)"
"74","1969 Commencement Ceremony","grinnell:5144","View from back of audience at the 1969 Commencement ceremonies. Far right, Mark Moulding ('71) with arm on chair of Debby Huntsinger ('70) in back row.",NA,"Grinnell College",1969,"Digital Grinnell","audience, commencement, ceremony","still image",NA,NA
"75","1971 Biology Class","grinnell:3467","Biology professor and students. From left to right: Guillermo Mendoza, Stone Prof. of Biology, Judy L. Haver ’72, Sally K. Harf ’73, Carlos A. Mendoza ’72, George J. Shybut ’72, and Laurel H. Etheridge ’73.",NA,"Grinnell College",1971,"Digital Grinnell",NA,"Article",NA,NA
"76","1972 Commencement Diploma Presentation","grinnell:5191","Student presented with diploma at 1972 Commencement.",NA,"Grinnell College",1972,"Digital Grinnell","diploma, commencement","Photograph",NA,NA
"77","1972 Commencement stage from side","grinnell:5190","Glenn Leggett, President; Beth W. Noble, Marshal; Jessie L. Ternberg, Class of 1946; Waldo S. Walker, Dean; at 1972 Commencement.",NA,"Grinnell College",1972,"Digital Grinnell","commencement, president Glenn Leggett, Marshal Beth Noble, Jessie Ternberg, Dean Waldo Walker","Photograph",NA,NA
"78","1979 Commencement","grinnell:5302","View from back of audience of the 1979 Commencement.",NA,"Grinnell College",1979,"Digital Grinnell","commencement","Photograph",NA,NA
"79","1979 Commencement Honorary Degree Recipients","grinnell:5298","Honorary degree recipients at the 1979 Commencement. From left to right: John R. Parish, Jane Howard, Marilyn Walsh, and Bernard Bailyn.",NA,"Grinnell College",1979,"Digital Grinnell","commencement, honorary degrees, John Parish, Jane Howard, Marilyn Walsh, Bernard Bailyn","Photograph",NA,NA
"80","1993 Theater Production","grinnell:23470","Jeremy Hawkinson '93 and Emil Bergl and three other actors talking in a circle onstage in a 1993 theater production.",NA,"Grinnell College",1993,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Theater","still image",NA,"Grinnell (Iowa)"
"81","1993 Theater Production","grinnell:23469","Three student actors onstage during a 1993 theater production. A female actor is sitting distressed with her knees in her chest while a male actor approaches her and another overlooks them from a staircase.",NA,"Grinnell College",1993,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Theater","still image",NA,"Grinnell (Iowa)"
"82","1996 Student Dance Performance","grinnell:23500","Claire Rambo and Allison Hart among others pose onstage during a dance performance in 1996.",NA,"Grinnell College",1996,"Digital Grinnell, Life at Grinnell College, Grinnell College. Special Collections and Archives","Students, Dance","still image",NA,"Grinnell (Iowa)"
"83","1st Position Paper Conference Discussion","grinnell:5888","Residence hall discussion of the First Position Paper Conference. Seated at right: Terri D. Tiddle, class of 1979; and Wilham C. Steel, class of 1938.",NA,"Grinnell College",1976,"Digital Grinnell","Terri Tiddle, discussion, first position paper conference, Wilheam Steel","Photograph",NA,NA
"84","1st Presbyterian Church, Council Bluffs, Iowa","grinnell:16979","Looking northeast at the front entrance of the First Presbyterian Church built in 1865. This building was raised and a new, larger church building was built in 1887. It was located at 634 Willow Avenue, Council Bluffs, Pottawattamie County, Iowa. 1905 postmark. Number 19.","First Presbyterian Church","Kwin & Co. (Chicago, Ill.)",1905,"Iowa Historical Postcard Collection (IHPC), Grinnell College. Special Collections and Archives, Digital Grinnell",NA,"still image","Protestant churches, Presbyterian churches, Churches, Pottawattamie County (Iowa), Council Bluffs (Iowa)",NA
"85","2-Layer Altered Monotype","grinnell:17950","Manipulated monotype image. Laser engraved fill, outlined by black acrylic on paper.","Two Layer Altered Monotype","Grinnell College",2016,"Digital Grinnell, Studio Student Art, Student Scholarship","Digital art., Scan.","still image","Laser printing., Screen process printing., Monotype., Computer art.","Grinnell (Iowa)"
"86","2012 Awards Ceremony","grinnell:5080","Poster advertising the 2012 Grinnell Prize Awards Ceremony on Nov. 13, 2012.","The Grinnell Prize : 2012 Awards Ceremony","Grinnell College",2012,"Digital Grinnell, Social Justice at Grinnell -- grinnell-collection:28, Grinnell Young Innovator for Social Justice Prize. -- grinnell-collection:44","Grinnell Young Innovator for Social Justice Prize","Poster","Award presentations, Social justice","Grinnell (Iowa)"
"87","2012-2013 Convocation/Public Events Schedule","grinnell:5184","Calendar of convocations and Public Events scheduled for 2012/2013.","Public Events Schedule, Convocation Schedule","Grinnell College",2012,"Digital Grinnell, Life at Grinnell College -- grinnell-collection:38, Campus Events",NA,"text","Calendars, Lectures and lecturing","Grinnell (Iowa)"
"88","2013 Awards Ceremony","grinnell:5093","Poster advertising the 2013 Grinnell Prize Ceremony on November 5, 2013.","The Grinnell Prize 2013 Awards Ceremony","Grinnell College",2013,"Digital Grinnell, Social Justice at Grinnell -- grinnell-collection:28, Grinnell Young Innovator for Social Justice Prize","Grinnell Young Innovator for Social Justice Prize","Poster","Social justice","Grinnell (Iowa)"
"89","2014 Phi Beta Kappa Scholar's Award Competition","grinnell:5129","Call for submissions for the 2014 Phi Beta Kappa Scholar's Award Competition.","Phi Beta Kappa Scholar's Award Competition","Grinnell College",2014,"Digital Grinnell",NA,"Poster",NA,NA
"90","2017 Endowed Chair, Professorship, and Staff Installation Ceremony","grinnell:23160","Announcement of the 2017 endowed chairs installation ceremony.",NA,"Grinnell College",2017,"Digital Grinnell, Campus Events",NA,"Text","College teachers, Rites and ceremonies","Grinnell (Iowa)"
"91","20th Reunion of the Grinnell High School Class of 1952","grinnell:13098","Photo of the 20th reunion of the Grinnell High School class of 1952 held in the Elks Hall in Grinnell, Iowa in 1972. Those identified are front row, left to right: Gordon Felper, Tom Parmley, John Taylor, Larry Lang, Roger Tharp, Larry German, Dean Moyer, Bill Gilbreath, and Neil Johnson. Two faculty members are sitting in the second row, one of whom is Esther Norris. Back row, third from right: Jeanette (Starnes) Lender. Drake Community Library (Grinnell, Iowa) Archives. Miscellaneous photographs. Collection #17-6, People.",NA,"Poweshiek History Preservation Project",1972,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1970s, Grinnell, Events & Celebrations","still image","Class reunions, Grinnell High School (Grinnell, Iowa)","Grinnell (Iowa)"
"92","2322 Olive Street, Cedar Falls, Iowa","grinnell:14143","Two story Victorian residence with utility pole in front. Series 732.",NA,"C.A. McKee School Supplies, Cedar Falls, Iowa",1920,"Iowa Historical Postcard Collection (IHPC)",NA,"still image","Black Hawk County (Iowa), Cedar Falls (Iowa), Residential streets, Dwellings, Residential facilities",NA
"93","2nd Avenue and Main St","grinnell:3310","Photograph of the city water system located at the corner of 2nd Avenue and Main Street. It was built in 1894 of brick. The cistern is visible in the foreground; the pump house is in the background. The standpipe was half masonry with a balcony on the top and a ladder to reach balcony alongside the pipe. That balcony was the vantage point for photography, most notably a double panoramic view of Grinnell.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1910s","Photograph",NA,NA
"94","3rd and RR & Broad Street","grinnell:3296","Photograph of the Morrison & McIntosh glove factory located at 3rd and RR & Broad Street. Built in 1895, it was later owned by DeLong Sportswear and eventually was purchased and renovated by Grinnell College.",NA,"Grinnell College",NA,"Digital Grinnell -- grinnell-collection:1, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Business, 1900s","Photograph",NA,NA
"95","403 Main Street","grinnell:19316","View of 403 Main Street looking north. Drake Community Library (Grinnell, Iowa) Archives. Chamber of Commerce Slides, p.8, slide 3.",NA,"Poweshiek History Preservation Project",1963,"Digital Grinnell, Poweshiek History Preservation Project, Drake Community Library (Grinnell, Iowa) Archives","1960s, Grinnell, Family Life","still image","Architecture, Domestic, Homes","Grinnell (Iowa)"
"96","411 First Avenue","grinnell:12195","Photo of the home of the Renfrow family at 411 First Avenue in Grinnell, Iowa in the 1960s.",NA,"Poweshiek History Preservation Project",1960,"Digital Grinnell, Poweshiek History Preservation Project","1960s, Grinnell, Family Life","still image","Homes, Renfrow family, Architecture, Domestic","Grinnell (Iowa)"
"97","411 First Avenue","grinnell:12185","Photograph of 411 First Avenue in Grinnell, Iowa, in the early 1960s. This house was the home of the Renfrow family for many years.",NA,"Poweshiek History Preservation Project",1960,"Digital Grinnell, Poweshiek History Preservation Project","1960s, Grinnell, Family Life","still image","Homes, Renfrow family, Architecture, Domestic","Grinnell (Iowa)"
"98","418 East Street","grinnell:3274","Photograph of the house at 418 East Street. Construction date is unknown, but it is listed in the 1878 City Directory, It was owned by Samuel A. Cravath, editor of Grinnell Herald, the older and more prestigious of the two newspapers in town (the other being the Grinnell Register). In 1916, the Herald office was built (813 5th Avenue). That same year, the Register built a new building (937 Broad Street). In 1936, the papers merged into the Grinnell Herald-Register. The top floor of this building was an apartment for the editor of the Register. Later on, John Parish (doctor) had his office in the first floor. The tower was later removed.",NA,"Grinnell College",NA,"Digital Grinnell, John Kleinschmidt Collection, Poweshiek History Preservation Project","Grinnell, Grant, Family Life, 1890s","Photograph",NA,NA
